date_time,town,title,price,beds,sqft,url
2022-07-12 20:41, (Back Bay),STUNNING BACK BAY PENTHOUSE,6500,3,,https://boston.craigslist.org/gbs/apa/d/boston-stunning-back-bay-penthouse/7508084571.html
2022-07-12 20:28, (Fenway),GREAT STUDIO in FENWAY!,1850,,,https://boston.craigslist.org/gbs/apa/d/boston-great-studio-in-fenway/7508080632.html
2022-07-12 20:25, (South Boston),BEAUTIFUL SOUTH BOSTON 1 BED ~NO FEE~,3180,1,637.0,https://boston.craigslist.org/gbs/apa/d/boston-beautiful-south-boston-bed-no-fee/7508079432.html
2022-07-12 20:22, (Brighton),✦STUNNING 4Bed/2Bath Apt surrounded by Public Transportation (1/2 Fee),4050,4,,https://boston.craigslist.org/gbs/apa/d/brighton-stunning-4bed-2bath-apt/7508078711.html
2022-07-12 20:22, (boston/cambridge/brookline),SPACIOUS & BRIGHT STUDIO in FENWAY,1900,,,https://boston.craigslist.org/gbs/apa/d/boston-spacious-bright-studio-in-fenway/7508078545.html
2022-07-12 20:18, (Lowell),3 Bedroom beautiful apartment $2500 Lowell/Dracut Line,2500,3,1100.0,https://boston.craigslist.org/nwb/apa/d/lowell-bedroom-beautiful-apartment-2500/7508077549.html
2022-07-12 20:18," (Belmont, Cambridge, Watertown)","**VIDEO** RENOVATED, TWO BEDROOM APARTMENT, NEW KITCHEN & BATH, NO FEE",2495,2,,https://boston.craigslist.org/gbs/apa/d/watertown-video-renovated-two-bedroom/7508077484.html
2022-07-12 20:11, (Fenway),PRIME LOCATION! SPACIOUS RENOVATED STREET LEVEL 1 BED in FENWAY.,2400,1,,https://boston.craigslist.org/gbs/apa/d/boston-prime-location-spacious/7508075218.html
2022-07-12 20:06, (Everett),House-sized apartment for rent in historic building,2600,3,2000.0,https://boston.craigslist.org/gbs/apa/d/everett-house-sized-apartment-for-rent/7508073760.html
2022-07-12 20:01," (Belmont, Cambridge, Watertown)","**VIDEO** RENOVATED, TWO BEDROOM APARTMENT, NEW KITCHEN & BATH, NO FEE",2495,2,,https://boston.craigslist.org/gbs/apa/d/watertown-video-renovated-two-bedroom/7508071893.html
2022-07-12 20:01, (Brighton),✦STUNNING 4bed/1.5Bath by Boston College avail.9/1 (1/2 FEE),5200,4,,https://boston.craigslist.org/gbs/apa/d/brighton-stunning-4bed-15bath-by-boston/7508071724.html
2022-07-12 19:46, (Jamaica Plain),"Lovely, Convenient, Vintage Pitched Roof Triple Decker!",3201,3,950.0,https://boston.craigslist.org/gbs/apa/d/jamaica-plain-lovely-convenient-vintage/7508066700.html
2022-07-12 19:40, (boston/cambridge/brookline),✦STUNNING 3bed Apt by Union Sq/Prospect Hill avail. 9/1 (Half Fee),3500,3,,https://boston.craigslist.org/gbs/apa/d/somerville-stunning-3bed-apt-by-union/7508064828.html
2022-07-12 19:37, (boston/cambridge/brookline),✦STUNNING 3bed Apt by Union Sq/Prospect Hill avail. 9/1 (Half Fee),3400,3,,https://boston.craigslist.org/gbs/apa/d/somerville-stunning-3bed-apt-by-union/7508063649.html
