date_time,town,title,price,beds,sqft,url
2022-07-12 19:53," (1105 South Cherry Street, Denver, CO)","Balconies, Air Conditioner, 24-Hour Laundry Facilities",1655,2,870.0,https://denver.craigslist.org/apa/d/denver-balconies-air-conditioner-24/7508103688.html
2022-07-12 19:51, (Castle Rock),Nice house for rent,2800,3,2400.0,https://denver.craigslist.org/apa/d/castle-rock-nice-house-for-rent/7508103226.html
2022-07-12 19:43, (Castle Rock),Beautiful house for rent,2800,3,2400.0,https://denver.craigslist.org/apa/d/castle-rock-beautiful-house-for-rent/7508101133.html
2022-07-12 19:41, (4684 N TOWER DRIVE DENVER CO),WELCOME HOME,1000,3,1468.0,https://denver.craigslist.org/apa/d/denver-welcome-home/7508098443.html
2022-07-12 19:40," (1150 South Cherry Street, Denver, CO)","Granite Countertops, Cable/Internet Ready, Tiled Backsplash",1824,2,1015.0,https://denver.craigslist.org/apa/d/denver-granite-countertops-cable/7508099002.html
2022-07-12 19:37," (9451 Welby Road, Thornton, CO)","Exterior Storage, Courtesy Night Patrol, Easy Access to 1-25",1873,1,975.0,https://denver.craigslist.org/apa/d/dupont-exterior-storage-courtesy-night/7502325053.html
2022-07-12 19:36, (denver),This 2 bedroom 1 bath ranch style home is seven blocks away from Denve,1100,2,,https://denver.craigslist.org/apa/d/denver-this-bedroom-bath-ranch-style/7508081325.html
2022-07-12 19:28," (Denver, CO)",A Great location! * MOVE IN ASAP!ONEBEDROOM ONEBATH!!*,1300,1,,https://denver.craigslist.org/apa/d/denver-great-location-move-in/7508089209.html
2022-07-12 19:28," (Denver, CO)",A Great location! * MOVE IN ASAP!ONEBEDROOM ONEBATH!!*,1300,1,,https://denver.craigslist.org/apa/d/denver-great-location-move-in/7508088889.html
2022-07-12 19:25, (Cheesman Park Capitol Hill Denver 80218),"2 Beds, 2 Full Baths Dog-Friendly, Big Closets",2550,2,919.0,https://denver.craigslist.org/apa/d/beds-full-baths-dog-friendly-big-closets/7507208815.html
2022-07-12 19:23," (1882 E. 104th Avenue, Thornton, CO)","Fitness Studio, Private Garage, Large Walk-In Closet",2165,2,1073.0,https://denver.craigslist.org/apa/d/denver-fitness-studio-private-garage/7502353052.html
2022-07-12 19:21, (Denver),"Large Windows, Walk-in Shower, High Ceilings, Double Sinks",2150,2,1067.0,https://denver.craigslist.org/apa/d/denver-large-windows-walk-in-shower/7508095457.html
2022-07-12 19:16," (1045 South Birch Street, Denver, CO)","Air Conditioning, Window Coverings, Shopping Nearby",1570,2,900.0,https://denver.craigslist.org/apa/d/denver-air-conditioning-window/7508093910.html
2022-07-12 19:11, (Commerce City),"Commerce City,  Home for Rent- 2bd 1ba",1920,2,1680.0,https://denver.craigslist.org/apa/d/commerce-city-commerce-city-home-for/7508063108.html
2022-07-12 19:11," (17886 E Greenwood Dr, Aurora, CO)","1bd 1ba, Electric car charging stations, Fireplaces available",1523,1,619.0,https://denver.craigslist.org/apa/d/aurora-1bd-1ba-electric-car-charging/7499825635.html
2022-07-12 19:10," (99 S Broadway, Denver, CO)","2bd 2ba, Roller shades, Wood-style plank flooring",2626,2,967.0,https://denver.craigslist.org/apa/d/denver-2bd-2ba-roller-shades-wood-style/7506930239.html
2022-07-12 19:10, (Wheat Ridge),Newly Renovated House For Rent,2625,2,,https://denver.craigslist.org/apa/d/denver-newly-renovated-house-for-rent/7508084264.html
2022-07-12 19:02," (Denver, CO)",A Great location! * MOVE IN ASAP!ONEBEDROOM ONEBATH!!*,1200,1,,https://denver.craigslist.org/apa/d/great-location-move-in-asaponebedroom/7508082753.html
2022-07-12 19:02," (23680 East Easter Drive, Aurora, CO)","Granite Countertops, Resident Events, Lovely Pool",2615,3,1298.0,https://denver.craigslist.org/apa/d/aurora-granite-countertops-resident/7499943006.html
2022-07-12 19:00, (Dacono),House For Rent Located in Dacono,2000,3,1921.0,https://denver.craigslist.org/apa/d/frederick-house-for-rent-located-in/7508088957.html
2022-07-12 18:59," (9451 Welby Road, Thornton, CO)","Easy Access to 1-25, Sparkling Heated Pool, Exterior Storage",1612,1,820.0,https://denver.craigslist.org/apa/d/dupont-easy-access-to-25-sparkling/7503950953.html
2022-07-12 18:58," (1105 South Cherry Street, Denver, CO)","Balconies, Air Conditioner, Dishwasher",1550,1,720.0,https://denver.craigslist.org/apa/d/denver-balconies-air-conditioner/7508088321.html
2022-07-12 18:54, (Central Park),"Hugh Savings, Great Living Spaces, Private Patio, Available NOW!",1764,2,952.0,https://denver.craigslist.org/apa/d/aurora-hugh-savings-great-living-spaces/7508083567.html
2022-07-12 18:53," (1045 South Birch Street, Denver, CO)","Off-Street and Guest Parking, Controlled Access Buildings, Park Nearby",1420,1,700.0,https://denver.craigslist.org/apa/d/denver-off-street-and-guest-parking/7500057204.html
2022-07-12 18:39," (1250 South Clermont Street, Denver, CO)","Microwave, Dishwasher, Range / Oven",1824,2,1015.0,https://denver.craigslist.org/apa/d/denver-microwave-dishwasher-range-oven/7508082742.html
2022-07-12 18:36, (Denver),"Outdoor Fire Pit, Fitness Center, In-Unit Laundry",2100,1,806.0,https://denver.craigslist.org/apa/d/denver-outdoor-fire-pit-fitness-center/7508081676.html
2022-07-12 18:30, (Denver),Hurry!,1589,1,780.0,https://denver.craigslist.org/apa/d/denver-hurry/7508079667.html
2022-07-12 18:29, (Thornton),We have the PERFECT apartment for you! Check out our 3D tours online!,2129,2,1093.0,https://denver.craigslist.org/apa/d/denver-we-have-the-perfect-apartment/7508079570.html
2022-07-12 18:29, (Denver),"1-110 Beautifully Renovated, Washer and Dryer, Patio with Storage",1805,1,702.0,https://denver.craigslist.org/apa/d/denver-beautifully-renovated-washer-and/7508079403.html
2022-07-12 18:28," (1882 E. 104th Avenue, Thornton, CO)","Fitness Center, Heated Pool, We Love Pets!",1602,1,719.0,https://denver.craigslist.org/apa/d/denver-fitness-center-heated-pool-we/7501510330.html
2022-07-12 18:27," (7050 Pecos St, #109, Denver, CO 80221)","Sparking Swimming Pool with Community BBQ Grilling Area, Futzol Court",1283,1,465.0,https://denver.craigslist.org/apa/d/denver-sparking-swimming-pool-with/7508072693.html
2022-07-12 18:27, (Denver),"1-102 Great Location, Amazing Amenities, Professional Staff",2055,2,1000.0,https://denver.craigslist.org/apa/d/denver-great-location-amazing-amenities/7508078760.html
2022-07-12 18:25, (Thornton),Ready to move? This 2 bed 2 bath is READY FOR IMMEDIATE MOVE IN!!,2129,2,1093.0,https://denver.craigslist.org/apa/d/denver-ready-to-move-this-bed-bath-is/7508077498.html
2022-07-12 18:25," (9451 Welby Road, Thornton, CO)","Relaxing Hot Spa, Courtesy Night Patrol, Direct Access Garage",2023,2,970.0,https://denver.craigslist.org/apa/d/dupont-relaxing-hot-spa-courtesy-night/7507235461.html
2022-07-12 18:23, (Denver),"1-110 Beautifully Renovated, Washer and Dryer, Balcony with Storage",1805,1,702.0,https://denver.craigslist.org/apa/d/denver-beautifully-renovated-washer-and/7508077796.html
2022-07-12 18:22," (11544 E CUSTER PL,AURORA,CO,80012)",FANCY HOME 🏡 FOR ALL FAMILY,1600,5,2304.0,https://denver.craigslist.org/apa/d/aurora-fancy-home-for-all-family/7508052552.html
2022-07-12 18:21, (Centennial),3/Bed 2/Bath Rent-2-Own Home in Smoky Ridge,2800,3,1292.0,https://denver.craigslist.org/apa/d/aurora-bed-bath-rent-own-home-in-smoky/7508074018.html
2022-07-12 18:21, (Denver),Feel The Summer Breeze At Your New Home By The Lake!,1625,1,705.0,https://denver.craigslist.org/apa/d/aurora-feel-the-summer-breeze-at-your/7508077183.html
