date_time,town,title,price,beds,sqft,url
2022-07-12 20:51, (Harlem / Morningside),Spacious 3BR/2 BA Apartment near Columbia University,5500,3,,https://newyork.craigslist.org/mnh/apa/d/new-york-spacious-3br-ba-apartment-near/7508087510.html
2022-07-12 20:44, (Bushwick),"BRAND NEW 2 Bed 1 Bath Apt for rent BACKYARD, LAUNDRY ON SITE *NO FEE*",3200,2,,https://newyork.craigslist.org/brk/apa/d/brooklyn-brand-new-bed-bath-apt-for/7508085418.html
2022-07-12 20:39, (Upper East Side),No Fee - UES Studio with Balcony - $2200 - Avail.9/1,2200,,,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-ues-studio-with-balcony/7508084028.html
2022-07-12 20:35," (E. WILLIAMSBURG__""L"" JEFFERSON STOP__""M"" KNICKERBOCKER STOP)","__""L"" JEFFERSON____ OPEN __""LOFT""__WITH 1 BEDROOM__NO FEE_",3998,1,,https://newyork.craigslist.org/brk/apa/d/brooklyn-jefferson-open-loftwith/7508082821.html
2022-07-12 20:15, (Long Island City),"Newly Renovated 1 BED, 1 BATH in LIC",4500,1,,https://newyork.craigslist.org/que/apa/d/long-island-city-newly-renovated-bed/7508076468.html
2022-07-12 20:11, (Lower East Side),((((( VIDEO))))NYU STUDIO BACKYARD RIVINGTON & CLINTON,2395,,,https://newyork.craigslist.org/mnh/apa/d/new-york-videonyu-studio-backyard/7508075054.html
2022-07-12 20:04, (Canarsie),Newly Renovated Three Bedroom Apartment,2912,3,,https://newyork.craigslist.org/brk/apa/d/brooklyn-newly-renovated-three-bedroom/7508073039.html
2022-07-12 20:02, (Upper East Side),No Fee - UES Studio w/ Loft Available 9/1 - $2200,2200,,,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-ues-studio-loft/7508072320.html
2022-07-12 19:50, (Harlem / Morningside),Spacious Duplex 4 Bedroom apartment in Morningside Heights,5300,4,,https://newyork.craigslist.org/mnh/apa/d/new-york-spacious-duplex-bedroom/7508067925.html
2022-07-12 19:50, (Sunset Park),"*$1,650* -1 1/2 BR Private House- Minutes to Maimonides hospital",1650,1,,https://newyork.craigslist.org/brk/apa/d/brooklyn-br-private-house-minutes-to/7508067881.html
2022-07-12 19:47, (BRONX),HUGE 3 BR IN THE HEART OF PELHAM BAY,2700,3,1150.0,https://newyork.craigslist.org/brx/apa/d/bronx-huge-br-in-the-heart-of-pelham-bay/7508066985.html
2022-07-12 19:40, (Chelsea),Large studio - Chelsea / Greenwhich village,2980,,400.0,https://newyork.craigslist.org/mnh/apa/d/new-york-large-studio-chelsea/7508064529.html
2022-07-12 19:27, (Bedford Stuyvesant),Huge Private Deck // Three Bedroom Apartment,4000,3,,https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-private-deck-three/7508060105.html
2022-07-12 19:05, (New Rochelle),HUGE 1 Bedroom APT (New Rochelle),1895,1,,https://newyork.craigslist.org/wch/apa/d/new-rochelle-huge-bedroom-apt-new/7508052405.html
2022-07-12 19:03, (Clinton Hill),Private Roof Deck Clinton Hill,3200,1,,https://newyork.craigslist.org/brk/apa/d/brooklyn-private-roof-deck-clinton-hill/7508051783.html
2022-07-12 18:56, (Flushing),Casa entera 4 dormitorios 2 baños,3600,4,,https://newyork.craigslist.org/que/apa/d/staten-island-casa-entera-dormitorios/7508049107.html
2022-07-12 18:51," (White Plains, NY)",Beautiful 2 bedroom apartment across from White Plains Hospital,2050,2,,https://newyork.craigslist.org/wch/apa/d/white-plains-beautiful-bedroom/7508047160.html
