date_time,town,title,price,beds,sqft,url
2022-07-12 20:56, (district of columbia),"Oversized Closets, Separate Dining Room, Free Weights",2015,1,870.0,https://washingtondc.craigslist.org/doc/apa/d/rockville-oversized-closets-separate/7505817056.html
2022-07-12 20:54, (maryland),"Efficient Appliances, Window Coverings, Patio/Balcony",1480,1,,https://washingtondc.craigslist.org/mld/apa/d/district-heights-efficient-appliances/7505534558.html
2022-07-12 20:52, (northern virginia),"Two resort-style pools with Lounge Seating, Hardwood Floors, Fireplace",2301,1,1016.0,https://washingtondc.craigslist.org/nva/apa/d/ashburn-two-resort-style-pools-with/7505410078.html
2022-07-12 20:52, (maryland),"Tile Flooring, Air Conditioner, Renovated Units",1275,1,,https://washingtondc.craigslist.org/mld/apa/d/temple-hills-tile-flooring-air/7498097047.html
2022-07-12 20:52," (1445 Ogden Street Northwest, Washington, DC)","Updated Bathrooms, Open Floor Plans, Fitness Center",2170,2,900.0,https://washingtondc.craigslist.org/doc/apa/d/washington-updated-bathrooms-open-floor/7505450157.html
2022-07-12 20:51, (Purcellville/va),Hello Horse Lover! This 5-BR/5 FB/92.3 ac farm is yours.,4900,5,,https://washingtondc.craigslist.org/nva/apa/d/purcellville-hello-horse-lover-this-br/7508086351.html
2022-07-12 20:50, (maryland),"Pet Friendly, Dishwasher, Close to Schools",1470,1,,https://washingtondc.craigslist.org/mld/apa/d/laurel-pet-friendly-dishwasher-close-to/7503461747.html
2022-07-12 20:49," (1815 Sycamore Valley Drive, Reston, VA)","In-Home Washer & Dryer, Ceramic Tile Baths, Clubhouse",2501,3,1033.0,https://washingtondc.craigslist.org/nva/apa/d/reston-in-home-washer-dryer-ceramic/7508085794.html
2022-07-12 20:48, (4903 Edgemoor Lane),"2nd Floor 1Br/ 1Ba Burke 1, Mid-Town Location , W/D and more",2357,1,753.0,https://washingtondc.craigslist.org/doc/apa/d/chevy-chase-2nd-floor-1br-1ba-burke-mid/7508077200.html
2022-07-12 20:43, (Purcellville/va),Hello Horse Lover! This 5-BR/5 FB/92.3 ac farm is yours.,4900,5,,https://washingtondc.craigslist.org/nva/apa/d/purcellville-hello-horse-lover-this-br/7508083964.html
2022-07-12 20:43, (Alexandria),Great Spacious 2bd with a lot of Natural Light and Big Balcony!,2084,2,984.0,https://washingtondc.craigslist.org/doc/apa/d/alexandria-great-spacious-2bd-with-lot/7505585792.html
2022-07-12 20:42, (district of columbia),"Cushy Outdoor Fire Place with Seating, Bike Storage, Breakfast Bar",1680,,447.0,https://washingtondc.craigslist.org/doc/apa/d/arlington-cushy-outdoor-fire-place-with/7504023876.html
2022-07-12 20:42, (northern virginia),"Online Payments Available, Laundry Facility, Dishwasher",2437,3,1100.0,https://washingtondc.craigslist.org/nva/apa/d/annandale-online-payments-available/7503947496.html
2022-07-12 20:41, (northern virginia),"Definitely, You Can Buy It! An Apartment that Brings More !",1754,1,685.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-definitely-you-can-buy-it-an/7502438765.html
2022-07-12 20:39, (Arlington),"1BR/1BA basement apartment with w/d in unit, walk to Courthouse and Clarendon",2050,1,700.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-1br-1ba-basement-apartment/7499100560.html
2022-07-12 20:36," (3200 16th Street Northwest, Washington, DC)","Updated Bathrooms, Large Walk-in Closets, Intercom system",1625,,520.0,https://washingtondc.craigslist.org/doc/apa/d/washington-updated-bathrooms-large-walk/7502588110.html
2022-07-12 20:35, (Arlington),"Excellent long term option for 1! Location,Backyard,Comfort/Style.Nice",950,3,1175.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-excellent-long-term-option/7508069980.html
2022-07-12 20:33, (northern virginia),"Air Conditioning, Air Conditioner, Separate Dining Area",1490,,,https://washingtondc.craigslist.org/nva/apa/d/falls-church-air-conditioning-air/7505580463.html
2022-07-12 20:32," (1265 Elden Street, Herndon, VA)","Renter Rewards Program, Corporate Leases Available, near Reston",2655,1,720.0,https://washingtondc.craigslist.org/nva/apa/d/herndon-renter-rewards-program/7506248941.html
2022-07-12 20:32, (district of columbia),"Wi-Fi in Common Areas, Fitness Center, 24-hour Package Pickup",2340,1,794.0,https://washingtondc.craigslist.org/doc/apa/d/arlington-wi-fi-in-common-areas-fitness/7501951291.html
2022-07-12 20:31," (12101 Pine Forest Circle, Fairfax, VA)","Newly Renovated Kitchen, Spacious Closets; Walk-In Closets, Fireplace",2475,2,1100.0,https://washingtondc.craigslist.org/nva/apa/d/fairfax-newly-renovated-kitchen/7506495034.html
2022-07-12 20:31, (northern virginia),"Welcoming lobby, Game Room with Pool Table, Wall-to-wall carpet",1770,1,801.0,https://washingtondc.craigslist.org/nva/apa/d/falls-church-welcoming-lobby-game-room/7506475965.html
2022-07-12 20:21, (maryland),"Close to Freeway, Eat-In Kitchens, Washer & Dryers",1940,2,889.0,https://washingtondc.craigslist.org/mld/apa/d/silver-spring-close-to-freeway-eat-in/7498250080.html
2022-07-12 20:20," (7131 Silver Lake Blvd., Alexandria, VA)","Cable & Satellite Ready, Central Air and Heating, Dishwasher",1771,2,803.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-cable-satellite-ready/7508076874.html
2022-07-12 20:19," (1204 S Washington St, Alexandria, VA)","Short Term Lease, Elevator, Ceramic Kitchen Tile",1764,1,660.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-short-term-lease-elevator/7506384811.html
2022-07-12 20:18," (9220 Old Lantern Way, Laurel, MD)","Tennis Courts, Resident Events, 2 Swimming Pools",2025,2,910.0,https://washingtondc.craigslist.org/doc/apa/d/laurel-tennis-courts-resident-events/7508076324.html
2022-07-12 20:17, (Arlington),"Welcome to contemporary, garden-style living with great amenities! Thi",1500,1,687.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-welcome-to-contemporary/7508066405.html
2022-07-12 20:17, (H ST CORRIDOR),GREAT 2 BED DEAL IN THE ATLAS DISTRICT! READY TODAY!,2308,2,,https://washingtondc.craigslist.org/doc/apa/d/washington-great-bed-deal-in-the-atlas/7508073340.html
2022-07-12 20:17, (U ST),GREAT 1 BED OFF U ST! READY FOR YOU!,2300,1,,https://washingtondc.craigslist.org/doc/apa/d/washington-great-bed-off-st-ready-for/7508066937.html
2022-07-12 20:16, (maryland),"Family Friendly, Gated Electronic Entrance, Spa/Hot Tub",2129,1,873.0,https://washingtondc.craigslist.org/mld/apa/d/rockville-family-friendly-gated/7506445633.html
2022-07-12 20:15, (Arlington),Found It! Rare 4th floor 1 BR + Den Completely Renovated,1500,1,879.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-found-it-rare-4th-floor-br/7508069940.html
2022-07-12 20:15, (maryland),"Carpeting, Recycling, Pet Friendly",1405,1,,https://washingtondc.craigslist.org/mld/apa/d/temple-hills-carpeting-recycling-pet/7496023504.html
2022-07-12 20:13, (northern virginia),"Storage Rooms Available, Built-in USB Ports, Open Concept Kitchens",2364,2,1184.0,https://washingtondc.craigslist.org/nva/apa/d/ashburn-storage-rooms-available-built/7504350670.html
2022-07-12 20:10, (Arlington),Beautifully remodeled 2-level condo with a very spacious backyard in t,1500,1,1490.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-beautifully-remodeled-level/7508062995.html
2022-07-12 20:09, (Arlington),Super charming 1 bedroom with balcony and parking. Cheerful and brigh,1500,1,613.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-super-charming-bedroom-with/7508064772.html
2022-07-12 20:09, (Baileys Crossing/Falls Church),HUGE STUDIO READY NOW AND PRICED JUST RIGHT!,1520,,640.0,https://washingtondc.craigslist.org/nva/apa/d/falls-church-huge-studio-ready-now-and/7508069834.html
2022-07-12 20:07, (H ST CORRIDOR),GREAT 2 BED DEAL IN THE ATLAS DISTRICT! READY TODAY!,2075,2,,https://washingtondc.craigslist.org/doc/apa/d/washington-great-bed-deal-in-the-atlas/7508069630.html
2022-07-12 20:07, (Columbia Heights),PERFECT LOCATION! Great 1 Bed Ready Today!,2250,1,,https://washingtondc.craigslist.org/doc/apa/d/washington-perfect-location-great-bed/7508069916.html
2022-07-12 20:07, (district of columbia),"Clubhouse, Package Receiving, Extra Storage",2341,1,851.0,https://washingtondc.craigslist.org/doc/apa/d/washington-clubhouse-package-receiving/7505571838.html
2022-07-12 20:04," (Arlington, Virginia)",Arlington Townhouse - 3bd + 2bth + Basement Den,3450,3,1800.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-arlington-townhouse-3bd-2bth/7504533762.html
2022-07-12 20:04, (Baileys Crossing/Falls Church),INCREDIBLE 1 BED READY TODAY! DON'T MISS IT!,1798,1,,https://washingtondc.craigslist.org/nva/apa/d/falls-church-incredible-bed-ready-today/7508067220.html
2022-07-12 20:01, (northern virginia),Room for rent$650,650,1,,https://washingtondc.craigslist.org/nva/apa/d/springfield-room-for-rent650/7503664728.html
2022-07-12 20:00, (Greenbelt),$500 RENT CREDIT! GREAT 2 BED READY NOW AND PRICED RIGHT!,1660,2,,https://washingtondc.craigslist.org/mld/apa/d/greenbelt-500-rent-credit-great-bed/7508069985.html
2022-07-12 19:59, (Alexandria),Awesome 1 Bed Deal in Alexandria!!,1805,1,,https://washingtondc.craigslist.org/nva/apa/d/alexandria-awesome-bed-deal-in/7508069728.html
2022-07-12 19:59, (Van Ness),Great 1 bed with Utilities Included Ready Now! CAN'T MISS!,1704,1,,https://washingtondc.craigslist.org/doc/apa/d/washington-great-bed-with-utilities/7508069673.html
2022-07-12 19:58, (Takoma),"New, well-lit English Basement Apartment",1875,,500.0,https://washingtondc.craigslist.org/doc/apa/d/takoma-park-new-well-lit-english/7504795211.html
2022-07-12 19:52, (Greenbelt),$500 RENT CREDIT! GREAT 1 BED READY NOW AND PRICED RIGHT!,1445,1,,https://washingtondc.craigslist.org/mld/apa/d/greenbelt-500-rent-credit-great-bed/7508065041.html
2022-07-12 19:51, (VAN NESS),GREAT 1 BED DEAL READY NEXT WEEK!,1815,1,,https://washingtondc.craigslist.org/doc/apa/d/washington-great-bed-deal-ready-next/7508067100.html
2022-07-12 19:51, (NW DC),GREAT STUDIO WITH ALL UTILITIES INCLUDED! CAN'T MISS!,1825,,,https://washingtondc.craigslist.org/doc/apa/d/washington-great-studio-with-all/7508067015.html
2022-07-12 19:51, (Del Ray Alexandria),Awesome 1 Bed Priced Just Right! Can't Miss!,2083,1,,https://washingtondc.craigslist.org/nva/apa/d/alexandria-awesome-bed-priced-just/7508066871.html
2022-07-12 19:51, (Logan/Dupont Cirle),"Beautiful & Large 1,300 Sq Ft, 2 Bed, 1.5 Bath, HW Floors, W/D in Unit",3375,2,1300.0,https://washingtondc.craigslist.org/doc/apa/d/washington-beautiful-large-1300-sq-ft/7508066859.html
2022-07-12 19:51, (northern virginia),"Mini-blinds on all windows, Wall-to-wall carpet, Dens available",1870,1,801.0,https://washingtondc.craigslist.org/nva/apa/d/falls-church-mini-blinds-on-all-windows/7502395049.html
2022-07-12 19:50, (H ST CORRIDOR),AMAZING DEAL IN THE ATLAS DISTRICT! READY TODAY!,1974,1,734.0,https://washingtondc.craigslist.org/doc/apa/d/washington-amazing-deal-in-the-atlas/7508063334.html
2022-07-12 19:45, (kensington),"master, big, middle size rooms - great location close to Metro station",780,1,160.0,https://washingtondc.craigslist.org/mld/apa/d/kensington-master-big-middle-size-rooms/7508064899.html
2022-07-12 19:45, (Columbia Heights),Great 3 Bed Apartment Ready For You!,3360,3,,https://washingtondc.craigslist.org/doc/apa/d/washington-great-bed-apartment-ready/7508064888.html
2022-07-12 19:42, (14th and U St Corridor),Great Apartment off 14th Ready Now! 2 WEEKS FREE!,2294,1,,https://washingtondc.craigslist.org/doc/apa/d/washington-great-apartment-off-14th/7508064081.html
2022-07-12 19:41, (Alexandria),Awesome 2 Bed Deal in Alexandria!,1905,2,,https://washingtondc.craigslist.org/nva/apa/d/alexandria-awesome-bed-deal-in/7508063651.html
2022-07-12 19:41," (4701 Kenmore Avenue, Alexandria, VA)","""MAKE THIS YOUR HOME TODAY!  APPLY NOW.""",2079,2,1005.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-make-this-your-home-today/7503198931.html
2022-07-12 19:40, (Gaithersburg),renovated end unit model townhouse for rent,2895,4,,https://washingtondc.craigslist.org/mld/apa/d/gaithersburg-renovated-end-unit-model/7508063439.html
2022-07-12 19:40, (silver spring),$660 / 1br - 100ft2 - great location close to Metro station,660,1,100.0,https://washingtondc.craigslist.org/mld/apa/d/silver-spring-660-1br-100ft2-great/7508063252.html
2022-07-12 19:39, (Baileys Crossing/Falls Church),GREAT 2 BED READY NOW AND PRICED JUST RIGHT!,2348,2,,https://washingtondc.craigslist.org/nva/apa/d/falls-church-great-bed-ready-now-and/7508063111.html
2022-07-12 19:39," (1815 Sycamore Valley Drive, Reston, VA)","Spacious Closets; Walk-In Closets, Package Acceptance, Fitness Area",2365,2,928.0,https://washingtondc.craigslist.org/nva/apa/d/reston-spacious-closets-walk-in-closets/7508063000.html
2022-07-12 19:38, (SILVER SPRING MD),"PET FRIENDLY,GYM, SPACIOUS CLOSETS, SHOPS, RESTAURANTS, GLENMONT METRO",1445,1,700.0,https://washingtondc.craigslist.org/mld/apa/d/silver-spring-pet-friendlygym-spacious/7496331752.html
2022-07-12 19:38, (beltsville),$630 / 1br - 110ft2 - great location close to University of Maryland,630,1,110.0,https://washingtondc.craigslist.org/mld/apa/d/beltsville-630-1br-110ft2-great/7508062635.html
2022-07-12 19:37, (Fairfax),"Business Center, Granite Chef's Kitchens, 24-Hour Fitness Center",2445,2,1059.0,https://washingtondc.craigslist.org/nva/apa/d/fairfax-business-center-granite-chefs/7503929929.html
